Date,Adj Close,Close,High,Low,Open,Volume
2023-07-19,424.7537841796875,451.510009765625,459.2799987792969,448.1099853515625,457.0,2141500
2023-07-20,428.98712158203125,456.010009765625,458.20001220703125,452.0,452.6300048828125,1353800
2023-07-21,427.8111877441406,454.760009765625,456.94000244140625,453.3500061035156,454.80999755859375,934300
2023-07-24,429.7302551269531,456.79998779296875,457.95001220703125,454.0400085449219,456.0,892200
2023-07-25,427.2373352050781,454.1499938964844,454.760009765625,447.4200134277344,452.42999267578125,1207800
2023-07-26,425.9767150878906,452.80999755859375,457.04998779296875,451.8699951171875,454.3299865722656,1322300
2023-07-27,422.0538024902344,448.6400146484375,452.4200134277344,445.32000732421875,451.5,1603600
2023-07-28,422.3924865722656,449.0,450.6499938964844,446.489990234375,448.0,1163100
2023-07-31,419.9183654785156,446.3699951171875,449.7099914550781,444.6300048828125,449.7099914550781,1806000
2023-08-01,424.53741455078125,451.2799987792969,453.1199951171875,446.8999938964844,447.0299987792969,1047900
2023-08-02,421.97857666015625,448.55999755859375,453.1300048828125,447.9100036621094,451.2799987792969,905700
2023-08-03,421.3764953613281,447.9200134277344,450.20001220703125,445.9800109863281,447.32000732421875,1240700
2023-08-04,419.306884765625,445.7200012207031,450.2900085449219,445.30999755859375,448.5799865722656,846800
2023-08-07,423.12628173828125,449.7799987792969,450.4700012207031,446.2799987792969,447.32000732421875,746800
2023-08-08,422.8346252441406,449.4700012207031,450.510009765625,447.57000732421875,449.0,791600
2023-08-09,425.9767150878906,452.80999755859375,454.04998779296875,449.989990234375,450.0799865722656,1211700
2023-08-10,423.3802185058594,450.04998779296875,453.9700012207031,449.260009765625,452.0,688700
2023-08-11,427.1432189941406,454.04998779296875,454.0899963378906,450.5199890136719,451.17999267578125,690500
2023-08-14,423.40850830078125,450.0799865722656,455.6099853515625,449.6600036621094,454.5899963378906,752300
2023-08-15,417.293701171875,443.5799865722656,450.0,443.2799987792969,448.0,725300
2023-08-16,418.7518615722656,445.1300048828125,447.0299987792969,442.29998779296875,442.8599853515625,822000
2023-08-17,420.2099609375,446.67999267578125,450.2200012207031,446.44000244140625,446.6400146484375,635800
2023-08-18,423.3896789550781,450.05999755859375,455.3699951171875,445.3800048828125,445.4200134277344,1075700
2023-08-21,424.73492431640625,451.489990234375,453.0299987792969,449.0,449.8399963378906,573500
2023-08-22,426.0989990234375,452.94000244140625,453.8900146484375,450.4599914550781,451.739990234375,671800
2023-08-23,427.6324157714844,454.57000732421875,454.8900146484375,452.0899963378906,454.5799865722656,1043200
2023-08-24,425.7320861816406,452.54998779296875,457.6700134277344,452.44000244140625,453.260009765625,697800
2023-08-25,424.3586120605469,451.0899963378906,455.260009765625,449.05999755859375,455.260009765625,785200
2023-08-28,425.5157775878906,452.32000732421875,453.3299865722656,450.2699890136719,450.80999755859375,641000
2023-08-29,421.8280334472656,448.3999938964844,453.260009765625,444.489990234375,452.32000732421875,1053700
2023-08-30,425.60040283203125,452.4100036621094,455.9200134277344,448.489990234375,449.44000244140625,875900
2023-08-31,424.5965576171875,448.3500061035156,453.6199951171875,448.1400146484375,450.82000732421875,826300
2023-09-01,424.4355773925781,448.17999267578125,451.8900146484375,447.7799987792969,450.32000732421875,668600
2023-09-05,421.6040344238281,445.19000244140625,448.3299865722656,445.04998779296875,448.0,854000
2023-09-06,401.47979736328125,423.94000244140625,441.3399963378906,423.6600036621094,440.239990234375,2548000
2023-09-07,403.37384033203125,425.94000244140625,427.7799987792969,422.0,424.0,1195700
2023-09-08,400.6748046875,423.0899963378906,426.44000244140625,422.25,426.3299865722656,1162300
2023-09-11,398.3735656738281,420.6600036621094,422.7300109863281,416.5199890136719,422.2200012207031,1618300
2023-09-12,395.6935119628906,417.8299865722656,420.1099853515625,415.94000244140625,419.5400085449219,1307700
2023-09-13,398.6861267089844,420.989990234375,422.25,418.5799865722656,419.82000732421875,971500
2023-09-14,403.32647705078125,425.8900146484375,426.6600036621094,420.7300109863281,420.7300109863281,992400
2023-09-15,401.583984375,424.04998779296875,428.8800048828125,423.7099914550781,423.9100036621094,1681600
2023-09-18,407.0861511230469,429.8599853515625,431.45001220703125,426.6000061035156,427.6600036621094,951200
2023-09-19,402.7772216796875,425.30999755859375,431.0799865722656,425.05999755859375,430.25,862300
2023-09-20,404.3303527832031,426.95001220703125,430.8500061035156,426.6700134277344,426.95001220703125,1044100
2023-09-21,395.4189147949219,417.5400085449219,426.6099853515625,417.19000244140625,425.7300109863281,1669400
2023-09-22,391.7349548339844,413.6499938964844,417.5,413.2300109863281,415.94000244140625,1453300
2023-09-25,391.02471923828125,412.8999938964844,413.95001220703125,411.510009765625,413.2300109863281,748300
2023-09-26,387.0945739746094,408.75,411.2699890136719,407.75,410.6300048828125,1108000
2023-09-27,387.0661315917969,408.7200012207031,410.0,405.7200012207031,409.17999267578125,1317700
2023-09-28,389.1875,410.9599914550781,412.8599853515625,408.82000732421875,409.8999938964844,819700
2023-09-29,387.2934265136719,408.9599914550781,411.45001220703125,407.5899963378906,410.9599914550781,764100
2023-10-02,386.2138671875,407.82000732421875,410.989990234375,405.8900146484375,408.9599914550781,733200
2023-10-03,382.4352111816406,403.8299865722656,407.5,402.5899963378906,407.3900146484375,899200
2023-10-04,380.0676574707031,401.3299865722656,402.0,397.1099853515625,400.6600036621094,1243400
2023-10-05,376.2985534667969,397.3500061035156,401.42999267578125,394.6199951171875,400.9599914550781,1162800
2023-10-06,379.49945068359375,400.7300109863281,402.4200134277344,393.7699890136719,395.3999938964844,1135600
2023-10-09,413.4028015136719,436.5299987792969,436.6000061035156,423.3900146484375,428.7200012207031,5343700
2023-10-10,412.048583984375,435.1000061035156,442.6199951171875,432.5299987792969,441.5199890136719,2626200
2023-10-11,413.5163879394531,436.6499938964844,438.79998779296875,433.29998779296875,434.7200012207031,1419500
2023-10-12,411.139404296875,434.1400146484375,439.0899963378906,430.1099853515625,438.04998779296875,1121900
2023-10-13,417.69281005859375,441.05999755859375,443.1199951171875,434.6700134277344,438.5299987792969,1519300
2023-10-16,417.0772705078125,440.4100036621094,443.5,434.3900146484375,439.4200134277344,1931300
2023-10-17,417.75909423828125,441.1300048828125,452.7900085449219,435.1300048828125,436.55999755859375,3103900
2023-10-18,422.4373779296875,446.07000732421875,447.8900146484375,440.2699890136719,443.30999755859375,2024100
2023-10-19,425.38262939453125,449.17999267578125,449.6700134277344,442.19000244140625,443.6600036621094,2012400
2023-10-20,420.6380920410156,444.1700134277344,452.6000061035156,444.010009765625,451.3699951171875,1715100
2023-10-23,422.52264404296875,446.1600036621094,452.05999755859375,443.489990234375,444.2099914550781,1502400
2023-10-24,417.541259765625,440.8999938964844,450.6099853515625,440.3399963378906,449.1300048828125,1367100
2023-10-25,423.9715576171875,447.69000244140625,449.3800048828125,443.67999267578125,444.3399963378906,1228900
2023-10-26,422.3426513671875,445.9700012207031,451.0899963378906,443.67999267578125,448.010009765625,1432000
2023-10-27,419.89935302734375,443.3900146484375,447.6600036621094,440.239990234375,443.4200134277344,1288400
2023-10-30,422.21954345703125,445.8399963378906,446.8599853515625,442.79998779296875,444.4200134277344,948800
2023-10-31,430.55340576171875,454.6400146484375,455.1300048828125,445.4100036621094,447.29998779296875,1418700
2023-11-01,428.41302490234375,452.3800048828125,456.70001220703125,451.4599914550781,456.3299865722656,1267000
2023-11-02,433.7732238769531,458.0400085449219,458.2200012207031,450.75,450.75,1242000
2023-11-03,429.3221740722656,453.3399963378906,457.760009765625,451.1300048828125,455.1099853515625,1365400
2023-11-06,427.25775146484375,451.1600036621094,454.8399963378906,450.6400146484375,454.8399963378906,1440800
2023-11-07,426.3012390136719,450.1499938964844,453.1600036621094,449.69000244140625,453.1600036621094,1220100
2023-11-08,421.10205078125,444.6600036621094,451.7699890136719,444.0299987792969,450.1499938964844,1386400
2023-11-09,419.01861572265625,442.4599914550781,445.6099853515625,439.67999267578125,445.4100036621094,1775500
2023-11-10,421.3009033203125,444.8699951171875,445.8299865722656,440.9700012207031,444.010009765625,1525400
2023-11-13,421.4524841308594,445.0299987792969,448.57000732421875,443.2900085449219,445.0,1003800
2023-11-14,420.6853942871094,444.2200012207031,446.7300109863281,441.8599853515625,443.0,1336800
2023-11-15,421.55670166015625,445.1400146484375,448.010009765625,443.4700012207031,443.4700012207031,1098400
2023-11-16,421.9827575683594,445.5899963378906,447.6700134277344,443.54998779296875,445.79998779296875,912900
2023-11-17,421.12103271484375,444.67999267578125,447.2300109863281,444.2200012207031,446.6400146484375,898600
2023-11-20,420.297119140625,443.80999755859375,445.5899963378906,440.760009765625,444.0299987792969,982000
2023-11-21,424.40716552734375,448.1499938964844,448.57000732421875,444.1600036621094,445.0,1177800
2023-11-22,426.5379333496094,450.3999938964844,451.70001220703125,447.5,447.5,833800
2023-11-24,428.0626525878906,452.010009765625,452.5899963378906,449.739990234375,451.69000244140625,326600
2023-11-27,421.8880920410156,445.489990234375,452.8299865722656,445.42999267578125,451.8599853515625,1496900
2023-11-28,424.52081298828125,448.2699890136719,450.8800048828125,446.0,447.8599853515625,1124900
2023-11-29,421.43353271484375,445.010009765625,449.5400085449219,443.9100036621094,449.5400085449219,1272900
2023-11-30,427.07025146484375,447.7699890136719,447.8599853515625,442.510009765625,443.0,1514500
2023-12-01,428.63446044921875,449.4100036621094,450.6600036621094,448.1499938964844,448.3999938964844,856900
2023-12-04,429.85528564453125,450.69000244140625,450.9599914550781,446.1099853515625,447.3699951171875,1265700
2023-12-05,425.6109924316406,446.239990234375,450.6400146484375,445.8999938964844,450.2900085449219,1055700
2023-12-06,428.63446044921875,449.4100036621094,450.44000244140625,445.5,445.5,864100
2023-12-07,426.4408264160156,447.1099853515625,451.3900146484375,446.2900085449219,450.4200134277344,861100
2023-12-08,427.3087158203125,448.0199890136719,450.5299987792969,447.4599914550781,448.57000732421875,761100
2023-12-11,430.3990173339844,451.260009765625,453.260009765625,449.510009765625,451.8800048828125,1021600
2023-12-12,430.75189208984375,451.6300048828125,453.75,450.3699951171875,451.67999267578125,1008200
2023-12-13,430.5706481933594,451.44000244140625,454.19000244140625,450.5,452.95001220703125,1300300
2023-12-14,424.68585205078125,445.2699890136719,450.8699951171875,441.44000244140625,450.510009765625,1891000
2023-12-15,421.3858337402344,441.80999755859375,444.54998779296875,438.7099914550781,441.0,3973400
2023-12-18,426.2500305175781,446.9100036621094,447.260009765625,442.2699890136719,442.7099914550781,1197300
2023-12-19,427.08935546875,447.7900085449219,448.5899963378906,446.1499938964844,447.67999267578125,695000
2023-12-20,422.1393127441406,442.6000061035156,448.54998779296875,442.57000732421875,448.0400085449219,1306800
2023-12-21,427.3087158203125,448.0199890136719,448.1000061035156,444.2200012207031,444.239990234375,637200
2023-12-22,427.49951171875,448.2200012207031,451.739990234375,448.1099853515625,450.0,623600
2023-12-26,429.368896484375,450.17999267578125,451.44000244140625,447.82000732421875,448.1499938964844,516900
2023-12-27,428.2148742675781,448.9700012207031,451.0199890136719,448.4100036621094,448.54998779296875,699900
2023-12-28,430.3703308105469,451.2300109863281,451.8299865722656,448.4599914550781,448.9700012207031,741800
2023-12-29,432.2874450683594,453.239990234375,453.5,451.1499938964844,452.0,832400
2024-01-02,435.0342712402344,456.1199951171875,462.04998779296875,454.29998779296875,454.29998779296875,1206500
2024-01-03,437.8955993652344,459.1199951171875,464.1000061035156,457.80999755859375,458.7900085449219,1174300
2024-01-04,436.7033996582031,457.8699951171875,463.95001220703125,457.7699890136719,462.30999755859375,1087700
2024-01-05,435.3967590332031,456.5,460.1099853515625,453.2699890136719,460.0400085449219,705300
2024-01-08,437.399658203125,458.6000061035156,458.69000244140625,453.5299987792969,454.4100036621094,716000
2024-01-09,435.19647216796875,456.2900085449219,458.6099853515625,453.2699890136719,458.54998779296875,732900
2024-01-10,434.34759521484375,455.3999938964844,459.6600036621094,454.7799987792969,456.20001220703125,666100
2024-01-11,432.1824951171875,453.1300048828125,457.79998779296875,449.3599853515625,456.55999755859375,784800
2024-01-12,441.7679138183594,463.17999267578125,463.3800048828125,456.5299987792969,457.3699951171875,966500
2024-01-16,436.67474365234375,457.8399963378906,466.2699890136719,456.3599853515625,466.2699890136719,814900
2024-01-17,435.36810302734375,456.4700012207031,462.7900085449219,455.0799865722656,457.6700134277344,920800
2024-01-18,438.3247985839844,459.57000732421875,459.9800109863281,453.5400085449219,456.1000061035156,780300
2024-01-19,436.5984802246094,457.760009765625,460.8500061035156,455.9599914550781,460.55999755859375,866600
2024-01-22,437.55224609375,458.760009765625,460.8299865722656,455.44000244140625,457.5899963378906,1216800
2024-01-23,419.3447570800781,439.6700134277344,459.0,433.8900146484375,458.5899963378906,3613500
2024-01-24,411.6954650878906,431.6499938964844,443.20001220703125,431.54998779296875,439.5199890136719,1768900
2024-01-25,411.11370849609375,431.0400085449219,433.94000244140625,425.75,430.0,1813900
2024-01-26,410.03594970703125,429.9100036621094,433.4200134277344,426.7099914550781,431.9700012207031,1260500
2024-01-29,408.2237854003906,428.010009765625,432.0299987792969,425.57000732421875,431.0,1903300
2024-01-30,411.7240905761719,431.67999267578125,431.8500061035156,427.7799987792969,431.2699890136719,1016400
2024-01-31,409.5590515136719,429.4100036621094,433.7200012207031,429.05999755859375,432.3500061035156,1120100
2024-02-01,409.9023742675781,429.7699890136719,431.7699890136719,426.70001220703125,430.2300109863281,1175000
2024-02-02,406.278076171875,425.9700012207031,428.8999938964844,424.3800048828125,428.1400146484375,973900
2024-02-05,402.2054748535156,421.70001220703125,424.3699951171875,419.8299865722656,424.0,1379600
2024-02-06,407.2127990722656,426.95001220703125,429.0199890136719,420.3599853515625,421.9800109863281,1065700
2024-02-07,410.2171936035156,430.1000061035156,430.2900085449219,426.5400085449219,426.5400085449219,980700
2024-02-08,407.2604675292969,427.0,429.75,425.7300109863281,429.3599853515625,972200
2024-02-09,406.7835998535156,426.5,427.6700134277344,424.4700012207031,427.5299987792969,1038600
